Date,Product Name,Product Type,Brand,Gender,Category,Country,Quantity,Unit Price ($),Amount ($),Payment Mode,Month
2022-08-23,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Casual,Canada,2,237.1,474.2,Dinheiro,8
2022-01-29,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Casual,UK,4,228.46,913.84,Dinheiro,1
2022-06-12,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Sportswear,Canada,4,52.42,209.68,Carteira Digital,6
2022-08-26,Nike Dunk Low,Tênis,Nike,Masculino,Limited Edition,Japan,3,270.52,811.56,UPI,8
2022-01-08,Jordan 1 High,Tênis,Nike,Unisex,Limited Edition,UK,4,119.36,477.44,Dinheiro,1
2022-01-23,New Era Cap,Boné,New Era,Feminino,Limited Edition,UK,3,125.26,375.78,Carteira Digital,1
2022-06-02,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,Canada,3,296.55,889.65,Cartão,6
2022-06-13,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,UK,1,56.73,56.73,Carteira Digital,6
2022-01-18,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Casual,UK,1,91.56,91.56,UPI,1
2022-04-11,New Era Cap,Boné,New Era,Feminino,Streetwear,USA,2,152.54,305.08,Cartão,4
2022-07-04,New Era Cap,Boné,New Era,Feminino,Casual,Australia,4,61.37,245.48,Dinheiro,7
2022-03-07,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,Japan,3,162.36,487.08,Carteira Digital,3
2022-06-29,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Streetwear,USA,2,257.5,515.0,UPI,6
2022-05-21,Nike Dunk Low,Tênis,Nike,Feminino,Casual,Germany,4,202.28,809.12,Cartão,5
2022-07-07,New Era Cap,Boné,New Era,Unisex,Casual,India,1,224.83,224.83,Dinheiro,7
2022-04-02,Puma Joggers,Calça desportiva,Puma,Masculino,Streetwear,Canada,3,256.27,768.81,Dinheiro,4
2022-03-26,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,UK,2,277.26,554.52,UPI,3
2022-07-04,Puma Joggers,Calça desportiva,Puma,Unisex,Streetwear,Canada,3,271.19,813.57,Dinheiro,7
2022-01-12,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,Canada,3,205.62,616.86,Carteira Digital,1
2022-08-01,Jordan 1 High,Tênis,Nike,Masculino,Streetwear,USA,4,130.97,523.88,Cartão,8
2022-03-26,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Streetwear,Canada,5,267.71,1338.55,Dinheiro,3
2022-01-04,Nike Dunk Low,Tênis,Nike,Masculino,Sportswear,USA,4,151.37,605.48,UPI,1
2022-03-07,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,Canada,5,89.84,449.2,Carteira Digital,3
2022-04-25,Puma Joggers,Calça desportiva,Puma,Masculino,Streetwear,Canada,1,276.64,276.64,Cartão,4
2022-03-15,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,India,3,203.41,610.23,Cartão,3
2022-08-10,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Limited Edition,UK,2,195.85,391.7,Carteira Digital,8
2022-08-04,Puma Joggers,Calça desportiva,Puma,Masculino,Sportswear,Australia,2,288.87,577.74,UPI,8
2022-05-11,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Sportswear,Australia,1,65.45,65.45,Dinheiro,5
2022-01-01,Yeezy Boost 350,Tênis,Adidas,Unisex,Casual,USA,1,202.42,202.42,Carteira Digital,1
2022-03-05,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Streetwear,Australia,2,51.11,102.22,Dinheiro,3
2022-07-24,New Era Cap,Boné,New Era,Masculino,Limited Edition,Japan,1,292.68,292.68,UPI,7
2022-08-10,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,USA,2,175.51,351.02,UPI,8
2022-03-13,Yeezy Boost 350,Tênis,Adidas,Feminino,Sportswear,Germany,4,211.37,845.48,Cartão,3
2022-03-23,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Casual,Germany,1,209.78,209.78,UPI,3
2022-05-12,Nike Dunk Low,Tênis,Nike,Unisex,Casual,India,1,59.85,59.85,Carteira Digital,5
2022-07-17,Nike Dunk Low,Tênis,Nike,Unisex,Streetwear,Canada,3,156.27,468.81,UPI,7
2022-03-08,Yeezy Boost 350,Tênis,Adidas,Unisex,Limited Edition,Australia,2,175.0,350.0,Cartão,3
2022-08-05,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Casual,UK,2,88.0,176.0,Carteira Digital,8
2022-07-02,Nike Dunk Low,Tênis,Nike,Masculino,Casual,UK,4,293.33,1173.32,Cartão,7
2022-07-17,Nike Dunk Low,Tênis,Nike,Unisex,Limited Edition,Germany,5,285.37,1426.85,UPI,7
2022-01-15,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Sportswear,USA,5,220.59,1102.95,Carteira Digital,1
2022-03-03,Nike Dunk Low,Tênis,Nike,Masculino,Streetwear,Australia,5,214.0,1070.0,Carteira Digital,3
2022-08-18,Yeezy Boost 350,Tênis,Adidas,Unisex,Limited Edition,Germany,5,208.24,1041.2,Cartão,8
2022-06-07,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Casual,Germany,4,133.7,534.8,UPI,6
2022-08-24,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Casual,India,2,158.7,317.4,Carteira Digital,8
2022-01-19,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Streetwear,UK,2,244.13,488.26,Dinheiro,1
2022-08-19,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Casual,Australia,5,147.99,739.95,UPI,8
2022-08-11,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Casual,Japan,1,157.81,157.81,Dinheiro,8
2022-03-24,Puma Joggers,Calça desportiva,Puma,Unisex,Streetwear,Germany,2,212.76,425.52,Carteira Digital,3
2022-01-17,Adidas Ultraboost,Tênis,Adidas,Feminino,Casual,Australia,3,225.9,677.7,Carteira Digital,1
2022-02-09,New Era Cap,Boné,New Era,Masculino,Streetwear,Canada,3,112.98,338.94,Carteira Digital,2
2022-05-13,New Era Cap,Boné,New Era,Unisex,Casual,Canada,2,100.84,201.68,Dinheiro,5
2022-02-03,Jordan 1 High,Tênis,Nike,Feminino,Casual,Canada,4,292.75,1171.0,Carteira Digital,2
2022-02-08,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Streetwear,UK,3,82.62,247.86,Dinheiro,2
2022-07-18,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,Australia,3,246.13,738.39,UPI,7
2022-04-29,Nike Dunk Low,Tênis,Nike,Masculino,Streetwear,Germany,4,168.01,672.04,Carteira Digital,4
2022-08-26,Adidas Ultraboost,Tênis,Adidas,Masculino,Sportswear,Japan,1,93.08,93.08,Carteira Digital,8
2022-01-14,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Limited Edition,Australia,3,161.55,484.65,UPI,1
2022-02-25,New Era Cap,Boné,New Era,Masculino,Casual,Germany,3,228.84,686.52,UPI,2
2022-05-23,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Sportswear,USA,4,221.31,885.24,Cartão,5
2022-07-26,New Era Cap,Boné,New Era,Feminino,Sportswear,UK,2,287.68,575.36,Dinheiro,7
2022-01-16,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,UK,5,168.7,843.5,Carteira Digital,1
2022-06-01,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Streetwear,UK,3,153.82,461.46,Dinheiro,6
2022-02-13,Adidas Ultraboost,Tênis,Adidas,Unisex,Casual,Japan,4,281.0,1124.0,UPI,2
2022-03-28,Puma Joggers,Calça desportiva,Puma,Feminino,Streetwear,India,5,112.4,562.0,Carteira Digital,3
2022-01-20,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Limited Edition,Canada,1,233.16,233.16,Dinheiro,1
2022-02-27,Yeezy Boost 350,Tênis,Adidas,Unisex,Sportswear,USA,5,248.71,1243.55,Carteira Digital,2
2022-05-26,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Casual,Australia,5,157.2,786.0,Carteira Digital,5
2022-01-29,Yeezy Boost 350,Tênis,Adidas,Masculino,Limited Edition,Australia,4,113.75,455.0,Carteira Digital,1
2022-04-14,Yeezy Boost 350,Tênis,Adidas,Feminino,Streetwear,Germany,1,109.66,109.66,Dinheiro,4
2022-06-06,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,India,1,81.57,81.57,UPI,6
2022-02-08,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Casual,Canada,2,247.2,494.4,UPI,2
2022-05-06,Puma Joggers,Calça desportiva,Puma,Feminino,Sportswear,Japan,4,250.26,1001.04,Cartão,5
2022-01-06,Adidas Ultraboost,Tênis,Adidas,Unisex,Sportswear,Germany,1,137.2,137.2,Cartão,1
2022-03-18,Adidas Ultraboost,Tênis,Adidas,Feminino,Streetwear,Canada,3,164.06,492.18,UPI,3
2022-02-07,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,USA,4,198.45,793.8,Carteira Digital,2
2022-06-05,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,Germany,2,162.48,324.96,Dinheiro,6
2022-06-13,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,UK,4,243.48,973.92,Carteira Digital,6
2022-08-10,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,UK,4,183.4,733.6,Cartão,8
2022-05-05,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,UK,1,271.44,271.44,Dinheiro,5
2022-03-01,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Limited Edition,USA,2,135.48,270.96,Dinheiro,3
2022-01-21,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Sportswear,Japan,5,148.46,742.3,Cartão,1
2022-07-10,New Era Cap,Boné,New Era,Masculino,Casual,Canada,5,251.06,1255.3,UPI,7
2022-03-12,New Era Cap,Boné,New Era,Unisex,Streetwear,Germany,2,195.41,390.82,Cartão,3
2022-01-22,Yeezy Boost 350,Tênis,Adidas,Unisex,Limited Edition,India,4,206.29,825.16,Carteira Digital,1
2022-05-13,New Era Cap,Boné,New Era,Feminino,Streetwear,Japan,4,146.09,584.36,Dinheiro,5
2022-05-26,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,USA,1,284.3,284.3,Cartão,5
2022-01-14,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,Australia,5,289.47,1447.35,Cartão,1
2022-03-10,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Sportswear,UK,2,218.25,436.5,Carteira Digital,3
2022-07-08,Jordan 1 High,Tênis,Nike,Masculino,Streetwear,India,4,204.62,818.48,Carteira Digital,7
2022-01-03,Puma Joggers,Calça desportiva,Puma,Feminino,Limited Edition,Japan,2,267.42,534.84,Dinheiro,1
2022-04-02,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,Germany,1,144.59,144.59,UPI,4
2022-08-17,Yeezy Boost 350,Tênis,Adidas,Masculino,Sportswear,Canada,2,80.47,160.94,Cartão,8
2022-04-26,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Casual,Canada,2,98.17,196.34,Cartão,4
2022-06-15,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,UK,2,63.76,127.52,Dinheiro,6
2022-04-06,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,UK,2,157.12,314.24,Cartão,4
2022-04-07,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Casual,Germany,5,293.21,1466.05,Dinheiro,4
2022-03-30,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,UK,2,142.25,284.5,UPI,3
2022-07-02,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,Japan,1,86.17,86.17,Carteira Digital,7
2022-07-09,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Limited Edition,Canada,3,172.37,517.11,Cartão,7
2022-02-05,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,India,3,236.05,708.15,UPI,2
2022-07-11,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Streetwear,UK,3,256.72,770.16,UPI,7
2022-06-02,Nike Dunk Low,Tênis,Nike,Masculino,Limited Edition,UK,4,205.64,822.56,Carteira Digital,6
2022-05-29,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,Germany,4,68.18,272.72,Dinheiro,5
2022-03-21,New Era Cap,Boné,New Era,Masculino,Limited Edition,Australia,4,68.97,275.88,Cartão,3
2022-06-06,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Limited Edition,Germany,5,123.23,616.15,Carteira Digital,6
2022-08-24,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,Australia,5,273.0,1365.0,Cartão,8
2022-02-10,Yeezy Boost 350,Tênis,Adidas,Feminino,Casual,Canada,3,225.84,677.52,Cartão,2
2022-03-01,Jordan 1 High,Tênis,Nike,Feminino,Sportswear,Canada,3,235.36,706.08,Carteira Digital,3
2022-03-17,Yeezy Boost 350,Tênis,Adidas,Feminino,Sportswear,India,5,189.94,949.7,Dinheiro,3
2022-01-03,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,USA,3,110.2,330.6,Cartão,1
2022-06-29,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Sportswear,Germany,2,54.76,109.52,Carteira Digital,6
2022-06-02,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Sportswear,Australia,1,296.56,296.56,UPI,6
2022-06-04,Yeezy Boost 350,Tênis,Adidas,Feminino,Sportswear,Australia,1,296.51,296.51,Carteira Digital,6
2022-04-03,Puma Joggers,Calça desportiva,Puma,Masculino,Casual,India,1,89.5,89.5,UPI,4
2022-03-16,Yeezy Boost 350,Tênis,Adidas,Unisex,Casual,UK,3,280.64,841.92,Cartão,3
2022-02-15,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Streetwear,Canada,5,234.28,1171.4,Dinheiro,2
2022-01-01,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,Japan,2,294.89,589.78,Carteira Digital,1
2022-03-10,Jordan 1 High,Tênis,Nike,Feminino,Sportswear,USA,1,208.24,208.24,Dinheiro,3
2022-04-08,Jordan 1 High,Tênis,Nike,Masculino,Casual,India,5,94.25,471.25,Carteira Digital,4
2022-08-03,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Casual,Germany,5,259.0,1295.0,Cartão,8
2022-05-05,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,Germany,4,299.73,1198.92,Dinheiro,5
2022-05-19,Adidas Ultraboost,Tênis,Adidas,Masculino,Casual,Canada,5,71.26,356.3,Dinheiro,5
2022-07-17,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,Japan,5,270.14,1350.7,Carteira Digital,7
